ticker,date,DeltaT,Modello,Measure,Moneyness,Density
AAPL,2024-01-23,1.43Y,BS,RND,0.8618090452261306,0.0055740586886358
AAPL,2024-01-23,1.43Y,BS,RND,0.8668341708542714,0.0056629250595437
AAPL,2024-01-23,1.43Y,BS,RND,0.871859296482412,0.0057542271681912
AAPL,2024-01-23,1.43Y,BS,RND,0.8768844221105526,0.0058496766140707
AAPL,2024-01-23,1.43Y,BS,RND,0.8819095477386933,0.0059471204038872
AAPL,2024-01-23,1.43Y,BS,RND,0.8869346733668342,0.0060478181232857
AAPL,2024-01-23,1.43Y,BS,RND,0.8919597989949748,0.0061476802566339
AAPL,2024-01-23,1.43Y,BS,RND,0.8969849246231156,0.0062462354476974
AAPL,2024-01-23,1.43Y,BS,RND,0.9020100502512562,0.0063418421301676
AAPL,2024-01-23,1.43Y,BS,RND,0.9070351758793967,0.0064330260497473
AAPL,2024-01-23,1.43Y,BS,RND,0.9120603015075376,0.0065183570509691
AAPL,2024-01-23,1.43Y,BS,RND,0.9170854271356784,0.0065952655599208
AAPL,2024-01-23,1.43Y,BS,RND,0.922110552763819,0.006666097028553
AAPL,2024-01-23,1.43Y,BS,RND,0.9271356783919598,0.0067285363938857
AAPL,2024-01-23,1.43Y,BS,RND,0.9321608040201004,0.0067753333296775
AAPL,2024-01-23,1.43Y,BS,RND,0.9371859296482412,0.0068013949518906
AAPL,2024-01-23,1.43Y,BS,RND,0.9422110552763816,0.0068391541435299
AAPL,2024-01-23,1.43Y,BS,RND,0.9472361809045226,0.0068918011508023
AAPL,2024-01-23,1.43Y,BS,RND,0.9522613065326632,0.006929454720563
AAPL,2024-01-23,1.43Y,BS,RND,0.957286432160804,0.0069487829778081
AAPL,2024-01-23,1.43Y,BS,RND,0.9623115577889446,0.006925623887345
AAPL,2024-01-23,1.43Y,BS,RND,0.9673366834170852,0.0068525883452255
AAPL,2024-01-23,1.43Y,BS,RND,0.972361809045226,0.0067666998000467
AAPL,2024-01-23,1.43Y,BS,RND,0.9773869346733668,0.0066663174429068
AAPL,2024-01-23,1.43Y,BS,RND,0.9824120603015074,0.0065724087308719
AAPL,2024-01-23,1.43Y,BS,RND,0.9874371859296482,0.0064855131343673
